sentiment,price_change
0.8689,7.3923
0.4975,-3.2896
0.9116,-3.2896
0.9116,-3.2896
0.9151,-3.2896
0.9005,0.0803
0.8712,0.0803
0.5459,0.0
0.5907,-0.2634
0.8623,-0.2634
0.7556,-0.7837
0.5944,0.761
0.8111,-0.2505
0.8909,2.2059
0.9593,2.2059
0.9149,2.2059
0.9273,-0.831
0.76,-1.4666
0.7032,-1.4666
0.9462,-1.4666
0.9331,-0.3514
0.8088,-0.3514
0.9625,-0.3514
0.8904,-4.6941
0.8858,2.2184
0.9077,2.2184
0.8171,0.555
0.9538,1.4225
0.9709,1.4225
0.9201,0.5894
0.8892,0.0974
0.8911,0.4915
0.9287,0.355
0.9394,0.355
0.9663,-1.467
0.8494,-1.467
0.8599,-1.0154
0.4721,-1.0154
0.8328,-1.0154
0.7826,-1.0154
0.8935,-1.0154
0.8245,-1.0154
0.9157,-0.0437
0.817,0.6642
0.5599,0.5292
0.8474,-1.1913
0.8961,-1.1913
0.9516,-1.1913
0.8453,-0.0216
0.7291,-0.0216
0.5574,-0.0216
0.7749,-0.1022
0.871,-0.0598
0.8116,-0.0598
0.8126,-0.0598
0.8939,0.6218
0.515,0.2418
0.901,0.2418
0.8244,0.2418
0.9012,0.2418
0.584,0.2418
0.8276,0.0
0.918,0.0
0.8567,0.3287
0.8564,-0.2625
0.4483,-0.3109
0.7323,-1.1148
0.8812,-0.1111
0.8822,1.2968
0.7291,-0.2472
0.9285,-0.1603
0.9297,0.4184
0.4638,0.397
0.5301,0.397
0.9266,0.397
0.8574,-0.1261
0.9301,-0.43
0.8253,2.0242
0.6111,2.0242
0.5518,2.0242
0.7405,0.3719
0.6718,2.0242
0.9357,2.0242
0.8724,1.7008
0.8964,1.7008
0.8698,1.4203
0.9152,1.4203
0.8673,1.4203
0.5975,-0.6242
0.8033,1.0183
0.9168,3.062
0.9268,7.3923
0.9053,7.3923
0.5504,7.3923
0.5494,7.3923
0.7142,-0.5743
0.5651,-0.5743
0.7805,-0.5743
0.9252,-0.5743
0.8228,-1.178
0.7091,-1.178
0.6687,-3.2896
0.9288,-3.2896
0.8871,0.0803
0.8138,0.0803
0.8239,0.0803
0.7419,0.6246
0.5089,0.6246
0.8798,0.6246
0.6261,3.062
0.5846,0.0
0.6991,-3.3333
0.6474,-2.2823
0.6957,0.761
0.9372,-0.7386
0.888,-0.7386
0.5237,-0.4997
0.8809,-0.4997
0.8809,2.2059
0.6959,-1.4666
0.9359,-0.3514
0.5617,-4.6941
0.9057,-4.6941
0.69,-4.6941
0.9221,-4.6941
0.8579,-4.6941
0.6002,2.2184
0.935,0.2212
0.7689,2.2184
0.9542,0.555
0.8596,0.1596
0.5551,0.1596
0.7835,0.6813
0.8409,0.6813
0.9331,-0.0437
0.949,2.8588
0.9356,-1.1913
0.8874,-0.0216
0.8257,-0.0216
0.7546,-0.1022
0.5072,-0.1022
0.7242,-0.0598
0.6881,-0.0598
0.9444,-0.0598
0.9267,-0.0598
0.5927,0.2418
0.5367,0.2418
0.4233,0.3928
0.935,-0.2625
0.8591,-0.2625
0.9194,-0.3109
0.8361,-1.1148
0.5974,-1.1148
0.8956,-1.1148
0.971,-0.1111
0.922,0.4184
0.5265,1.4753
0.4842,1.4753
0.7437,1.4753
0.9332,0.2212
0.9429,-0.43
